0.03,-0.59,0.01,90,180,0,
0.01,-0.59,0.01,90,180,0,
-0.01,-0.59,0.01,90,180,0,
-0.03,-0.59,0.01,90,180,0,
0.05,-0.59,0.01,90,180,0,
0.07,-0.59,0.01,90,180,0,
0.09,-0.59,0.01,90,180,0,
0.03,-0.59,0.01,90,180,0,
0.03,-0.61,0.01,90,180,0,
0.03,-0.63,0.01,90,180,0,
0.03,-0.57,0.01,90,180,0,
0.03,-0.59,0.01,90,180,0,
0.03,-0.59,0.03,90,180,0,
0.03,-0.59,0.05,90,180,0,
0.03,-0.59,0.03,75,180,0,
0.03,-0.59,0.05,60,180,0,
0.03,-0.59,0.07,45,180,0,
0.03,-0.59,0.03,105,180,0,
0.03,-0.59,0.05,120,180,0,
0.03,-0.59,0.07,135,180,0,
0.03,-0.59,0.03,90,165,0,
0.03,-0.59,0.05,90,150,0,
0.03,-0.59,0.07,90,135,0,
0.03,-0.59,0.03,90,195,0,
0.03,-0.59,0.05,90,210,0,
0.03,-0.59,0.07,90,225,0,
0.03,-0.57,0.01,90,180,-15,
0.03,-0.55,0.01,90,180,-30,
0.03,-0.57,0.01,90,180,15,
0.03,-0.55,0.01,90,180,30,
